lam,x_i,x_f,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0,,,0.417580713,-0.418582466,0.591257078,,,,0.418364041,-0.418366873,0.591658103,,,,,,,,,,,,
0.05,,,0.41871077,-0.41743677,0.591246282,,,,0.419476026,-0.417220962,0.591636263,,,,,,,,,,,,
0.1,,,0.419835323,-0.416264406,0.59121718,,,,0.413660885,-0.41857994,0.58849341,,,,,,,,,,,,
0.15,,,0.420923914,-0.415073733,0.591154079,,,,0.367744307,-0.444494097,0.576897632,,,,,,,,,,,,
0.2,0,0,-4.31E-01,3.68E-01,5.67E-01,9.26E-06,2.62E-05,0.999966,5.68E-01,-3.18E-01,6.51E-01,7.19E-02,1.86E+00,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,684.3
0.4,0,0,4.34E-01,-2.87E-01,5.21E-01,1.49E-05,6.75E-05,0.999901,9.05E-01,-9.45E-01,1.31E+00,2.09E-01,6.18E-01,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,640.7
1,0,0,2.05E+00,3.39E-01,2.08E+00,7.69E-04,1.32E-02,0.986498,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,3.12E+00,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,494.3
2,0,0,-2.80E-01,1.26E-01,3.07E-01,1.48E-05,2.61E-04,0.999763,1.58E+00,1.64E-01,1.59E+00,2.66E-02,1.17E+00,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,455.9
4,0,0,8.92E-02,-1.21E-01,1.51E-01,8.53E-06,2.98E-04,0.999668,1.00E+00,-1.36E+00,1.69E+00,5.32E-02,9.11E-01,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,523.4
8,0,0,1.77E-01,-1.14E-01,2.10E-01,3.63E-05,2.97E-03,0.996943,-2.80E-01,-1.22E+00,1.25E+00,1.81E-01,9.56E-01,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,556.6
