check,passed,lam,x_i,x_f,N,T,m,omega,eps,rank,epochs,K_re,K_im,abs_K,std_err,final_loss,ess_n,time_s,exact_re,exact_im,rel_err
mehler,TRUE,0,0,0,16,1,1,2,0.01,8,15000,4.18E-01,-4.18E-01,5.91E-01,3.80E-09,4.02E-12,1,512.6,0.418366676,-0.418366676,0.001039506
mehler,FALSE,0,0.5,1,16,1,1,2,0.01,8,15000,-4.22E-01,-4.05E-01,5.85E-01,6.77E-07,1.80E-07,1,514.7,-0.458427486,-0.374039559,0.081653639
endpoint_near,FALSE,0.2,0,0,16,1,1,2,0.01,8,15000,-4.31E-01,3.68E-01,5.67E-01,9.26E-06,2.62E-05,0.999966,524.6,,,
endpoint_far,FALSE,0.2,0,5,16,1,1,2,0.01,8,15000,2.00E+01,2.80E+01,3.44E+01,1.31E-03,1.01E-04,0.999857,510.2,,,
squeeze_lam0_origin,FALSE,0,0,0,16,1,1,2,0.01,8,15000,4.18E-01,-4.18E-01,5.91E-01,3.80E-09,4.02E-12,1,518.8,,,
squeeze_lam2_origin,FALSE,2,0,0,16,1,1,2,0.01,8,15000,-2.80E-01,1.26E-01,3.07E-01,1.48E-05,2.61E-04,0.999763,519.8,,,
squeeze_lam0_far,FALSE,0,0,3,16,1,1,2,0.01,8,15000,-1.16E+02,-1.36E+01,1.16E+02,3.31E-03,3.58E-05,0.999961,512.5,,,
squeeze_lam2_far,FALSE,2,0,3,16,1,1,2,0.01,8,15000,-7.98E-01,1.56E-01,8.13E-01,8.46E-05,3.67E-04,0.994893,499.5,,,
free_particle,TRUE,0,0,0,16,1,1,0,0.01,8,15000,2.82E-01,-2.82E-01,3.99E-01,2.42E-09,4.77E-12,1,515.3,0.282094792,-0.282094792,0.000662497
short_time,TRUE,2,0,0,16,0.01,1,2,0.01,8,15000,2.82E+00,-2.82E+00,3.99E+00,1.25E-07,1.99E-10,1,507.5,2.820947918,-2.820947918,3.66E-05
