lambda,Re(K) pert,Im(K) pert,Re(K) exact,Im(K) exact
0.0,0.3075215077281619,-0.30752150772816184,0.3075224673967805,-0.30752068503400565
0.01,0.3076110457675714,-0.3074319696887523,0.3076119636135052,-0.3074311693606556
0.05,0.30796919792520944,-0.3070738175311143,0.30796856576272047,-0.30707132030863593
0.1,0.308416888122257,-0.30662612733406674,0.30882788817778734,-0.30697107431125376
0.15,0.30886457831930453,-0.3061784371370192,0.3152282282028005,-0.29896576296809896
0.2,0.3093122685163521,-0.30573074693997165,0.3112943609858352,-0.34570001307558784
0.3,0.3102076489104471,-0.3048353665458766,0.1897293869944224,-0.19476864736624358
0.4,0.3111030293045422,-0.3039399861517815,0.2023398695712068,-0.6050269698511878
0.5,0.3119984096986373,-0.30304460575768644,0.11933600425279879,-0.7308846560979969
0.6,0.3128937900927324,-0.30214922536359134,0.9073510169841668,-0.27222798350787
0.8,0.3146845508809225,-0.3003584645754012,0.7143242782432837,0.3676415477772028
1.0,0.3164753116691127,-0.29856770378721104,-0.17593863134585863,-1.0435716431133435
1.5,0.3209522136395881,-0.29409080181673564,1.3428626746588765,-0.4211241562512734
2.0,0.32542911561006344,-0.2896138998462603,-0.36758582807241924,-1.126038257579283
3.0,0.33438291955101423,-0.2806600959053095,-5.914452300170847e-05,0.7970997620174731
4.0,0.34333672349196503,-0.2717062919643587,1.166450426089154,0.5051508033708642
6.0,0.3612443313738666,-0.25379868408245715,1.380647860645469,-0.7876898773998585
8.0,0.3791519392557682,-0.23589107620055555,1.3907047326899453,-0.7285057717795234
