lambda,K_mc_real,K_mc_imag,K_mc_abs,K_mc_std_err,K_diag_real,K_diag_imag,K_diag_abs,K_diag_uncertainty,rel_diff,agreement,ess,final_var_loss,time_s
0.0,0.4175807133788883,-0.41858246634083957,0.591257078870098,3.572062224514005e-09,0.41836404112053677,-0.4183668728942091,0.5916581033316332,2.8853753753467824e-05,0.0013731830030198288,GOOD (<5%),0.9999998212577038,4.682284074353227e-12,264.6
0.05,0.41871076954782466,-0.4174367699438577,0.5912462815413664,6.562368074284608e-06,0.4194760263767616,-0.4172209619733292,0.5916362630998778,2.819782151889233e-05,0.0013439075739627953,GOOD (<5%),0.9999905073349278,9.399502232554369e-06,251.8
0.1,0.4198353228040736,-0.41626440612204757,0.5912171801276935,1.3197165006939291e-05,0.4136608854115445,-0.41857994035443763,0.5884934108268227,0.0034164280190632835,0.011205468258661574,GOOD (<5%),0.9999531184050907,8.159277058439329e-05,260.5
0.2,0.4219794042883804,-0.41387000736748947,0.5910626029803798,2.3117553687880022e-05,0.567733479022249,-0.31765119085782073,0.650556363627394,0.07191248502733749,0.2684611477828904,SIGNIFICANT DISCREPANCY,0.9998659182646096,0.00017358423792757094,266.8
0.3,0.42401649168088595,-0.4114376276287538,0.5908222293094124,3.175723446147966e-05,0.06239737737303367,-0.7029461742200546,0.7057101080143632,0.16341662443578833,0.6581799561152347,SIGNIFICANT DISCREPANCY,0.999624639790379,0.0001945144758792594,271.9
0.4,0.42596587264661884,-0.4089264374095843,0.590480953013804,4.36426855422546e-05,0.905079968006827,-0.9451755122499524,1.3086353569440952,0.20905617746724006,0.5495082794559538,SIGNIFICANT DISCREPANCY,0.9994402821896958,0.0015395722584798932,273.8
0.5,0.42781673280317967,-0.40638406624562773,0.5900636967012274,5.178976437651108e-05,-0.3591875460207736,0.02472334401522273,0.3600374104946879,0.21294949807243851,2.4923679869611175,SIGNIFICANT DISCREPANCY,0.9992413518771198,0.0008772418950684369,270.5
0.6,0.42955650389848604,-0.4037976369298289,0.5895517972422814,6.0812780913127755e-05,1.1596162527821983,0.30428504022256897,1.1988741549553388,0.1955957416678634,0.8483283999871989,SIGNIFICANT DISCREPANCY,0.9990035615985566,0.0011653333203867078,281.0
0.7,0.4312066033453083,-0.4010993547487021,0.5889141084644035,7.195232342690206e-05,1.353219364423353,-0.9908687557138415,1.6772070651235165,0.17096133746555722,0.6525743964587939,SIGNIFICANT DISCREPANCY,0.9986182228899984,0.0017226679483428597,276.0
0.8,0.4327618483886723,-0.39849204384658865,0.5882845624608993,7.832376578502231e-05,0.42596505771306736,-1.5436236155310186,1.6013182372088162,0.14611352399225852,0.7151306440308336,SIGNIFICANT DISCREPANCY,0.9981477154090664,0.0011773614678531885,289.7
0.9,0.43419031577085276,-0.3958686679460275,0.5875655134285495,8.722175691215148e-05,-0.40514151442556035,-1.2240903144034976,1.2893939446606262,0.12389748648800687,0.914510686799072,SIGNIFICANT DISCREPANCY,0.9980038780110543,0.002205735305324197,290.8
1.0,0.43554188687050444,-0.3932226010419755,0.586788504649619,9.375473214645121e-05,-0.753841950059321,-0.5709356299082095,0.9456453770668599,0.1050461375447915,1.2717104850972205,SIGNIFICANT DISCREPANCY,0.9974297310981607,0.0026918393559753895,305.9
