x_f,Re(K0),Im(K0),|K0|
0.25,0.3136297288801335,-0.30128947640662423,0.43490108695058904
0.5,0.33118719437495836,-0.2818758551434432,0.43490108695058904
0.75,0.3577541424836965,-0.24728713870025434,0.4349010869505891
1.0,0.3888502896348387,-0.1947675734862091,0.43490108695058904
1.25,0.41750879410619257,-0.1217594442940535,0.43490108695058904
1.5,0.434037106803693,-0.027399732631603863,0.434901086950589
1.75,0.4264205456548159,0.08546621364172455,0.43490108695058904
2.0,0.38191422872612757,0.2080396051893267,0.43490108695058904
2.25,0.2903130896888034,0.32381671572997067,0.4349010869505891
2.5,0.14898570271996617,0.4085856284989007,0.43490108695058904
2.75,-0.03116359809427388,0.433783108920371,0.4349010869505891
3.0,-0.22106497125442684,0.37452534482339545,0.43490108695058904
3.25,-0.3739233501732104,0.2220817048431648,0.43490108695058916
3.5,-0.4348937050506684,-0.0025339175413038317,0.43490108695058916
3.75,-0.36192704155485067,-0.2411384913740593,0.4349010869505891
4.0,-0.1536301966569883,-0.4068620381725714,0.43490108695058904
4.25,0.12898390421313694,-0.41533373073317814,0.43490108695058904
4.5,0.36675359306684424,-0.23373223441229374,0.43490108695058904
4.75,0.428256835857329,0.07573003348918197,0.43490108695058904
5.0,0.2502879536658359,0.3556612091310665,0.43490108695058904
5.25,-0.09042933926844929,0.42539568642650283,0.43490108695058904
5.5,-0.3819686721532016,0.20793962807585237,0.43490108695058904
5.75,-0.3998183919195299,-0.17112629521404668,0.4349010869505891
6.0,-0.09631063815822075,-0.4241028370670964,0.43490108695058904
6.25,0.2995808308448925,-0.315262241984491,0.4349010869505891
6.5,0.4251244407040389,0.09169604869830539,0.4349010869505891
6.75,0.1263984261308205,0.4161278569171443,0.43490108695058904
7.0,-0.31460438747207414,0.3002716017443622,0.43490108695058904
7.25,-0.4036129505431234,-0.1619738916760291,0.434901086950589
7.5,-0.002306241381371893,-0.43489497201220284,0.43490108695058904
7.75,0.408218615601448,-0.14998839057487448,0.4349010869505891
8.0,0.26622813818270363,0.34389174731385325,0.43490108695058904
8.25,-0.2616230535485604,0.34740802132756077,0.43490108695058904
8.5,-0.3972718369136472,-0.17695774361711422,0.43490108695058904
8.75,0.10031808037709844,-0.42317282306435733,0.43490108695058904
9.0,0.43327088787003687,0.037620382176604156,0.43490108695058904
9.25,0.008441332038740118,0.43481915705752383,0.43490108695058904
9.5,-0.43331975438257353,0.03705328450529069,0.4349010869505891
9.75,-0.048202492850108636,-0.43222155790038874,0.4349010869505891
