config,lam,x_i,x_f,seed,best,sd_weight_max,sd_warmup_frac,detach_jac,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
A: no SD,1,0,0,42,N,0,0.3,TRUE,2.053389062,0.338717223,2.08113815,7.69E-04,1.32E-02,0.986498,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,3.12E+00,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,545.6
A: no SD,1,0,0,45,N,0,0.3,TRUE,0.388756038,-0.182536688,0.429477473,1.37E-05,1.01E-04,0.999907,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,1.28E+00,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,554.7
A: no SD,1,0,0,99,N,0,0.3,TRUE,-0.395800432,0.161851053,0.427614015,1.59E-05,1.78E-04,0.999886,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,8.62E-01,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,540.5
A: no SD,1,0,0,123,Y,0,0.3,TRUE,-0.456000071,0.284017626,0.537216973,1.47E-05,9.33E-05,0.999893,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,9.57E-01,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,529.5
"B: SD=1.0 early, detach",1,0,0,42,Y,1,0.1,TRUE,-0.525334411,0.406634028,0.664324827,1.84E-04,2.86E-01,0.992255,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,1.06E+00,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,1373.7
"B: SD=1.0 early, detach",1,0,0,45,N,1,0.1,TRUE,0.590543924,-0.546995932,0.80495135,2.76E-04,3.03E-01,0.988468,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,1.42E+00,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,1367.4
"B: SD=1.0 early, detach",1,0,0,99,N,1,0.1,TRUE,-0.493202466,0.420657531,0.648229458,1.80E-04,2.87E-01,0.992543,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,1.08E+00,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,1375
"B: SD=1.0 early, detach",1,0,0,123,N,1,0.1,TRUE,0.522674011,-0.536091003,0.748720031,2.39E-04,2.92E-01,0.989876,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,1.35E+00,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,1379.3
"C: SD=1.0 early, full J",1,0,0,42,Y,1,0.1,FALSE,353.5033999,-754.1143694,832.8584129,6.12E-01,2.00E-01,0.983231,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,8.81E+02,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,1614.4
"C: SD=1.0 early, full J",1,0,0,45,N,1,0.1,FALSE,65.1177537,-51.53792695,83.04504658,2.58E-02,2.22E-01,0.992901,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,8.81E+01,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,1601.1
"C: SD=1.0 early, full J",1,0,0,99,N,1,0.1,FALSE,-28.42924772,23.63732659,36.97222381,2.03E-02,2.11E-01,0.928705,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,3.89E+01,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,1638.6
"C: SD=1.0 early, full J",1,0,0,123,N,1,0.1,FALSE,-0.081811282,-0.032478436,0.088022353,8.61E-03,1.62E+00,0.005607,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,9.11E-01,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,1637.8
